locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKFMKLHP_00850	CDS	1206	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
AKFMKLHP_00851	CDS	1146	iscS_2	2.8.1.7	COG1104	Cysteine desulfurase IscS
AKFMKLHP_00852	CDS	1338	brnQ_2		COG1114	Branched-chain amino acid transport system 2 carrier protein
AKFMKLHP_00853	CDS	1689	ezrA		COG4477	Septation ring formation regulator EzrA
AKFMKLHP_00854	CDS	807	hisK	3.1.3.15	COG1387	Histidinol-phosphatase
AKFMKLHP_00855	CDS	624	yttP			putative HTH-type transcriptional regulator YttP
AKFMKLHP_00856	CDS	492	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
AKFMKLHP_00857	CDS	1740				hypothetical protein
AKFMKLHP_00858	CDS	603	rpsD		COG0522	30S ribosomal protein S4
AKFMKLHP_00859	CDS	120				hypothetical protein
AKFMKLHP_00860	CDS	1269	tyrS1	6.1.1.1	COG0162	Tyrosine--tRNA ligase 1
AKFMKLHP_00861	CDS	1719	acsA_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
AKFMKLHP_00862	CDS	633	acuA	2.3.1.-		Acetoin utilization protein AcuA
AKFMKLHP_00863	CDS	645	IMPDH_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
AKFMKLHP_00864	CDS	1164	acuC			Acetoin utilization protein AcuC
AKFMKLHP_00865	CDS	729	motB_1		COG1360	Motility protein B
AKFMKLHP_00866	CDS	819	pomA_1		COG1291	Chemotaxis protein PomA
AKFMKLHP_00867	CDS	1005	ccpA_1		COG1609	Catabolite control protein A
AKFMKLHP_00868	CDS	1077	aroA		COG1605	Protein AroA(G)
AKFMKLHP_00869	CDS	327				hypothetical protein
AKFMKLHP_00870	CDS	456				hypothetical protein
AKFMKLHP_00871	CDS	423				hypothetical protein
AKFMKLHP_00872	CDS	1299	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
AKFMKLHP_00873	CDS	2859	sftA			DNA translocase SftA
AKFMKLHP_00874	CDS	606				hypothetical protein
AKFMKLHP_00875	CDS	810				hypothetical protein
AKFMKLHP_00876	CDS	324	ytpP			Thioredoxin-like protein YtpP
AKFMKLHP_00877	CDS	447				hypothetical protein
AKFMKLHP_00878	CDS	1074	ysdC_2	3.4.11.-	COG1363	Putative aminopeptidase YsdC
AKFMKLHP_00879	CDS	318				hypothetical protein
AKFMKLHP_00880	CDS	1701	maeA_1	1.1.1.38	COG0281	putative NAD-dependent malic enzyme 2
AKFMKLHP_00881	CDS	846	ytnP	3.1.1.-	COG0491	putative quorum-quenching lactonase YtnP
AKFMKLHP_00882	CDS	642	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
AKFMKLHP_00883	CDS	279				hypothetical protein
AKFMKLHP_00884	CDS	798				hypothetical protein
AKFMKLHP_00885	CDS	2157	amyX	3.2.1.41	COG1523	Pullulanase
AKFMKLHP_00886	CDS	930	ytlR	2.7.1.-	COG1597	Putative lipid kinase YtlR
AKFMKLHP_00887	CDS	915				hypothetical protein
AKFMKLHP_00888	CDS	552	ytlP	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
AKFMKLHP_00889	CDS	936	cysK_1	2.5.1.47		Cysteine synthase
AKFMKLHP_00890	CDS	1392		3.4.13.-		Putative dipeptidase
AKFMKLHP_00891	CDS	1299	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
AKFMKLHP_00892	CDS	1158				hypothetical protein
AKFMKLHP_00893	CDS	711	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
AKFMKLHP_00894	CDS	222	ytzE		COG1349	putative HTH-type transcriptional regulator YtzE
AKFMKLHP_00895	CDS	720	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
AKFMKLHP_00896	CDS	1566	murJ_1		COG2244	Lipid II flippase MurJ
AKFMKLHP_00897	CDS	1218	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
AKFMKLHP_00898	CDS	1539	opuD		COG1292	Glycine betaine transporter OpuD
AKFMKLHP_00899	CDS	183				Sporulation protein cse60
AKFMKLHP_00900	CDS	669				hypothetical protein
AKFMKLHP_00901	CDS	1242	yteT	1.-.-.-	COG0673	Putative oxidoreductase YteT
AKFMKLHP_00902	CDS	423	yteS			Putative lipoprotein YteS
AKFMKLHP_00903	CDS	1122	yteR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YteR
AKFMKLHP_00904	CDS	966	yteP_1		COG4209	putative multiple-sugar transport system permease YteP
AKFMKLHP_00905	CDS	2307	yesS_1		COG2207	HTH-type transcriptional regulator YesS
AKFMKLHP_00906	CDS	1497	lipO_1		COG1653	Lipoprotein LipO
AKFMKLHP_00907	CDS	882	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
AKFMKLHP_00908	CDS	762	udh	1.1.1.203	COG0451	Uronate dehydrogenase
AKFMKLHP_00909	CDS	1188	bioI	1.14.14.46	COG2124	Biotin biosynthesis cytochrome P450
AKFMKLHP_00910	CDS	1008	bioB_1	2.8.1.6		Biotin synthase
AKFMKLHP_00911	CDS	696	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
AKFMKLHP_00912	CDS	1170	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 2
AKFMKLHP_00913	CDS	1347	bioK	2.6.1.105	COG0161	L-Lysine--8-amino-7-oxononanoate transaminase
AKFMKLHP_00914	CDS	735	bioW	6.2.1.14	COG1424	6-carboxyhexanoate--CoA ligase
AKFMKLHP_00915	CDS	900				hypothetical protein
AKFMKLHP_00916	CDS	1035	melR		COG1609	HTH-type transcriptional repressor MelR
AKFMKLHP_00917	CDS	1281	melE		COG1653	Melibiose/raffinose/stachyose-binding protein MelE
AKFMKLHP_00918	CDS	912	melD		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
AKFMKLHP_00919	CDS	831	melC		COG0395	Melibiose/raffinose/stachyose import permease protein MelC
AKFMKLHP_00920	CDS	1299	melA	3.2.1.22	COG1486	Alpha-galactosidase
AKFMKLHP_00921	CDS	312		2.8.1.-	COG0607	Sulfurtransferase
AKFMKLHP_00922	CDS	2415	leuS	6.1.1.4		Leucine--tRNA ligase
AKFMKLHP_00923	CDS	339				hypothetical protein
AKFMKLHP_00924	CDS	786	pfyP			Blue-light photoreceptor
AKFMKLHP_00925	CDS	1194	mdrP_2			Na(+), Li(+), K(+)/H(+) antiporter
AKFMKLHP_00926	CDS	747	yttA			putative membrane protein YttA
AKFMKLHP_00927	CDS	1941	bceB		COG0577	Bacitracin export permease protein BceB
AKFMKLHP_00928	CDS	762	bceA		COG1136	Bacitracin export ATP-binding protein BceA
AKFMKLHP_00929	CDS	1005	graS_1	2.7.13.3		Sensor histidine kinase GraS
AKFMKLHP_00930	CDS	705	graR_1		COG0745	Response regulator protein GraR
AKFMKLHP_00931	CDS	1311	ytrF		COG0577	ABC transporter permease YtrF
AKFMKLHP_00932	CDS	696	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
AKFMKLHP_00933	CDS	978	ytrD			putative ABC transporter permease YtrD
AKFMKLHP_00934	CDS	987	ytrC			putative ABC transporter permease YtrC
AKFMKLHP_00935	CDS	879	ytrB		COG1131	ABC transporter ATP-binding protein YtrB
AKFMKLHP_00936	CDS	393	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
AKFMKLHP_00937	CDS	138				hypothetical protein
AKFMKLHP_00938	CDS	273				hypothetical protein
AKFMKLHP_00939	CDS	969	bioB_2	2.8.1.6		Biotin synthase
AKFMKLHP_00940	CDS	585	rsmH_1	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
AKFMKLHP_00941	CDS	1107	ytpB	4.2.3.130		Tetraprenyl-beta-curcumene synthase
AKFMKLHP_00942	CDS	780	ytpA	3.1.1.-	COG2267	Phospholipase YtpA
AKFMKLHP_00943	CDS	516	yrdA		COG0663	Protein YrdA
AKFMKLHP_00944	CDS	1392	proY		COG1113	Proline-specific permease ProY
AKFMKLHP_00945	CDS	1899	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
AKFMKLHP_00946	CDS	1203	metK	2.5.1.6		S-adenosylmethionine synthase
AKFMKLHP_00947	CDS	1584	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
AKFMKLHP_00948	CDS	243	ytmB			putative protein YtmB
AKFMKLHP_00949	CDS	774	dpp5_1	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
AKFMKLHP_00950	CDS	1029				hypothetical protein
AKFMKLHP_00951	CDS	783	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
AKFMKLHP_00952	CDS	813	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
AKFMKLHP_00953	CDS	477	ytkD	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase YtkD
AKFMKLHP_00954	CDS	405				hypothetical protein
AKFMKLHP_00955	CDS	438	dps		COG0783	General stress protein 20U
AKFMKLHP_00956	CDS	141				hypothetical protein
AKFMKLHP_00957	CDS	438				hypothetical protein
AKFMKLHP_00958	CDS	474	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
AKFMKLHP_00959	CDS	564	csh_1	3.13.1.5		Carbon disulfide hydrolase
AKFMKLHP_00960	CDS	249	rpmE2		COG0254	50S ribosomal protein L31 type B
AKFMKLHP_00961	CDS	1332	ythA	1.10.3.-	COG1271	Putative cytochrome bd menaquinol oxidase subunit I
AKFMKLHP_00962	CDS	1041	ythB		COG1294	Putative cytochrome bd menaquinol oxidase subunit II
AKFMKLHP_00963	CDS	159				hypothetical protein
AKFMKLHP_00964	CDS	888	mntD		COG1108	Manganese transport system membrane protein MntD
AKFMKLHP_00965	CDS	1308	mntC		COG1108	Manganese transport system membrane protein MntC
AKFMKLHP_00966	CDS	753	mntB		COG1121	Manganese transport system ATP-binding protein MntB
AKFMKLHP_00967	CDS	921	mntA		COG0803	Manganese-binding lipoprotein MntA
AKFMKLHP_00968	CDS	1116	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
AKFMKLHP_00969	CDS	1461	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
AKFMKLHP_00970	CDS	816	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
AKFMKLHP_00971	CDS	825	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
AKFMKLHP_00972	CDS	1743	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
AKFMKLHP_00973	CDS	1416	pchA	5.4.4.2	COG1169	Salicylate biosynthesis isochorismate synthase
AKFMKLHP_00974	CDS	720	dksA_1			RNA polymerase-binding transcription factor DksA
AKFMKLHP_00975	CDS	819	gtaB_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
AKFMKLHP_00976	CDS	1287	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
AKFMKLHP_00977	CDS	951	wbgU	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
AKFMKLHP_00978	CDS	1224	cotSA_1	2.4.-.-	COG0438	Spore coat protein SA
AKFMKLHP_00979	CDS	432				hypothetical protein
AKFMKLHP_00980	CDS	1056	cotS			Spore coat protein S
AKFMKLHP_00981	CDS	1134	cotSA_2	2.4.-.-	COG0438	Spore coat protein SA
AKFMKLHP_00982	CDS	1062	cotI			Spore coat protein I
AKFMKLHP_00983	CDS	468	tspO		COG3476	Tryptophan-rich protein TspO
AKFMKLHP_00984	CDS	2397	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
AKFMKLHP_00985	CDS	1455	glgA	2.4.1.21	COG0297	Glycogen synthase
AKFMKLHP_00986	CDS	1032	glgD		COG0448	Glycogen biosynthesis protein GlgD
AKFMKLHP_00987	CDS	1143	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
AKFMKLHP_00988	CDS	1884	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
AKFMKLHP_00989	tRNA	72				tRNA-Glu(ttc)
AKFMKLHP_00990	tRNA	91				tRNA-Ser(gct)
AKFMKLHP_00991	tRNA	75				tRNA-Asn(gtt)
AKFMKLHP_00992	tRNA	77				tRNA-Ile(gat)
AKFMKLHP_00993	tRNA	74				tRNA-Gly(tcc)
AKFMKLHP_00994	tRNA	76				tRNA-His(gtg)
AKFMKLHP_00995	tRNA	76				tRNA-Phe(gaa)
AKFMKLHP_00996	tRNA	75				tRNA-Asp(gtc)
AKFMKLHP_00997	tRNA	72				tRNA-Asp(gtc)
AKFMKLHP_00998	tRNA	76				tRNA-Phe(gaa)
AKFMKLHP_00999	tRNA	74				tRNA-Thr(tgt)
AKFMKLHP_01000	tRNA	85				tRNA-Tyr(gta)
AKFMKLHP_01001	tRNA	74				tRNA-Trp(cca)
AKFMKLHP_01002	tRNA	76				tRNA-His(gtg)
AKFMKLHP_01003	tRNA	75				tRNA-Gln(ttg)
AKFMKLHP_01004	tRNA	75				tRNA-Gly(gcc)
AKFMKLHP_01005	tRNA	71				tRNA-Cys(gca)
AKFMKLHP_01006	tRNA	89				tRNA-Leu(taa)
AKFMKLHP_01007	tRNA	84				tRNA-Leu(caa)
AKFMKLHP_01008	CDS	777	spo0M		COG4326	Sporulation-control protein spo0M
AKFMKLHP_01009	CDS	198				hypothetical protein
AKFMKLHP_01010	CDS	696	pepE	3.4.13.21		Peptidase E
AKFMKLHP_01011	CDS	1773	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
AKFMKLHP_01012	CDS	1356	yvdP_1	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
AKFMKLHP_01013	CDS	198				hypothetical protein
AKFMKLHP_01014	CDS	1452	katA_1	1.11.1.6	COG0753	Vegetative catalase
AKFMKLHP_01015	CDS	897	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
AKFMKLHP_01016	CDS	999	ssuA		COG0715	Putative aliphatic sulfonates-binding protein
AKFMKLHP_01017	CDS	831	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
AKFMKLHP_01018	CDS	1131	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
AKFMKLHP_01019	CDS	507				hypothetical protein
AKFMKLHP_01020	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
AKFMKLHP_01021	CDS	474				hypothetical protein
AKFMKLHP_01022	CDS	204				hypothetical protein
AKFMKLHP_01023	tRNA	74				tRNA-Gly(tcc)
AKFMKLHP_01024	CDS	624				hypothetical protein
AKFMKLHP_01025	CDS	1161	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
AKFMKLHP_01026	CDS	924				hypothetical protein
AKFMKLHP_01027	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
AKFMKLHP_01028	CDS	642				hypothetical protein
AKFMKLHP_01029	CDS	714				hypothetical protein
AKFMKLHP_01030	CDS	708				hypothetical protein
AKFMKLHP_01031	CDS	1896				hypothetical protein
AKFMKLHP_01032	CDS	1179				hypothetical protein
AKFMKLHP_01033	CDS	465	marR		COG1846	Multiple antibiotic resistance protein MarR
AKFMKLHP_01034	CDS	633	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
AKFMKLHP_01035	CDS	1599	emrB			Multidrug export protein EmrB
AKFMKLHP_01036	CDS	531	pnpB	1.6.5.6		p-benzoquinone reductase
AKFMKLHP_01037	CDS	375				hypothetical protein
AKFMKLHP_01038	CDS	762				hypothetical protein
AKFMKLHP_01039	CDS	366	ytrA_2		COG1725	HTH-type transcriptional repressor YtrA
AKFMKLHP_01040	CDS	699	opuCA_1		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
AKFMKLHP_01041	CDS	918	bcrA_1			Bacitracin transport ATP-binding protein BcrA
AKFMKLHP_01042	CDS	942				hypothetical protein
AKFMKLHP_01043	CDS	204	cspB		COG1278	Cold shock protein CspB
AKFMKLHP_01044	CDS	831	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
AKFMKLHP_01045	CDS	1080				hypothetical protein
AKFMKLHP_01046	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
AKFMKLHP_01047	CDS	456				hypothetical protein
AKFMKLHP_01048	CDS	570	yhcN			putative spore germination lipoprotein YhcN
AKFMKLHP_01049	CDS	969				hypothetical protein
AKFMKLHP_01050	CDS	654				hypothetical protein
AKFMKLHP_01051	CDS	3588	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
AKFMKLHP_01052	CDS	597	srtD	3.4.22.-	COG3764	Sortase D
AKFMKLHP_01053	CDS	909	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
AKFMKLHP_01054	CDS	396				hypothetical protein
AKFMKLHP_01055	CDS	423	hrp1_1		COG0517	Hypoxic response protein 1
AKFMKLHP_01056	CDS	663	cbbY	3.1.3.-	COG0637	Protein CbbY
AKFMKLHP_01057	CDS	1542	amiF	3.5.1.49		Formamidase
AKFMKLHP_01058	CDS	1338	tpa	2.6.1.77	COG0161	Taurine--pyruvate aminotransferase
AKFMKLHP_01059	CDS	576	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
AKFMKLHP_01060	CDS	825	glpF		COG0580	Glycerol uptake facilitator protein
AKFMKLHP_01061	CDS	1491	glpK	2.7.1.30	COG0554	Glycerol kinase
AKFMKLHP_01062	CDS	1665	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
AKFMKLHP_01063	CDS	1746	pgcA	5.4.2.2		Phosphoglucomutase
AKFMKLHP_01064	CDS	1140				hypothetical protein
AKFMKLHP_01065	CDS	645	liaR_1		COG2197	Transcriptional regulatory protein LiaR
AKFMKLHP_01066	CDS	525	azr	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
AKFMKLHP_01067	CDS	243				hypothetical protein
AKFMKLHP_01068	CDS	324				hypothetical protein
AKFMKLHP_01069	CDS	1467	lytF	3.4.-.-	COG0791	Peptidoglycan endopeptidase LytF
AKFMKLHP_01070	CDS	441	nsrR		COG1959	HTH-type transcriptional repressor NsrR
AKFMKLHP_01071	CDS	1527				hypothetical protein
AKFMKLHP_01072	CDS	1407				hypothetical protein
AKFMKLHP_01073	CDS	1377	phoA	3.1.3.1	COG1785	Alkaline phosphatase 4
AKFMKLHP_01074	CDS	1005	lytE	3.4.-.-		putative peptidoglycan endopeptidase LytE
AKFMKLHP_01075	CDS	876	cysL_1		COG0583	HTH-type transcriptional regulator CysL
AKFMKLHP_01076	CDS	1101	citA	2.3.3.16	COG0372	Citrate synthase 1
AKFMKLHP_01077	CDS	870	ydaD_1	1.-.-.-		General stress protein 39
AKFMKLHP_01078	CDS	1398	yhdG_1		COG0531	putative amino acid permease YhdG
AKFMKLHP_01079	CDS	1356				hypothetical protein
AKFMKLHP_01080	CDS	1410	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
AKFMKLHP_01081	CDS	429				hypothetical protein
AKFMKLHP_01082	CDS	291	yhdK			putative anti-sigma-M factor YhdK
AKFMKLHP_01083	CDS	1074	yhdL			putative anti-sigma-M factor YhdL
AKFMKLHP_01084	CDS	492	sigM_2		COG1595	ECF RNA polymerase sigma factor SigM
AKFMKLHP_01085	CDS	996	yhdN	1.1.1.-	COG0667	Aldo-keto reductase YhdN
AKFMKLHP_01086	CDS	600	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
AKFMKLHP_01087	CDS	1335				hypothetical protein
AKFMKLHP_01088	CDS	546				hypothetical protein
AKFMKLHP_01089	CDS	1182	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
AKFMKLHP_01090	CDS	1386				hypothetical protein
AKFMKLHP_01091	CDS	357	crcB_1		COG0239	Putative fluoride ion transporter CrcB
AKFMKLHP_01092	CDS	396	crcB_2			Putative fluoride ion transporter CrcB
AKFMKLHP_01093	CDS	732	glpQ_2	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
AKFMKLHP_01094	CDS	108				hypothetical protein
AKFMKLHP_01095	CDS	1116				hypothetical protein
AKFMKLHP_01096	CDS	744	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
AKFMKLHP_01097	CDS	849		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
AKFMKLHP_01098	CDS	849	dat	2.6.1.21		D-alanine aminotransferase
AKFMKLHP_01099	CDS	1362	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
AKFMKLHP_01100	CDS	555	nhaX		COG0589	Stress response protein NhaX
AKFMKLHP_01101	CDS	1758	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
AKFMKLHP_01102	CDS	2022	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
AKFMKLHP_01103	CDS	621				hypothetical protein
AKFMKLHP_01104	CDS	204				Small, acid-soluble spore protein 1
AKFMKLHP_01105	CDS	210				hypothetical protein
AKFMKLHP_01106	CDS	1362	yheD			Endospore coat-associated protein YheD
AKFMKLHP_01107	CDS	1092	gshB	6.3.2.3		Glutathione synthetase
AKFMKLHP_01108	CDS	1134				hypothetical protein
AKFMKLHP_01109	CDS	354				hypothetical protein
AKFMKLHP_01110	CDS	1074	yhaZ		COG4335	putative protein YhaZ
AKFMKLHP_01111	CDS	867	yhaX		COG0561	Stress response protein YhaX
AKFMKLHP_01112	CDS	1506	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
AKFMKLHP_01113	CDS	1218	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
AKFMKLHP_01114	CDS	498	khtT_2		COG0490	K(+)/H(+) antiporter subunit KhtT
AKFMKLHP_01115	CDS	318	khtS			K(+)/H(+) antiporter modulator KhtS
AKFMKLHP_01116	CDS	768	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
AKFMKLHP_01117	CDS	186				hypothetical protein
AKFMKLHP_01118	CDS	897		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
AKFMKLHP_01119	CDS	1260	yhaP		COG1668	putative protein YhaP
AKFMKLHP_01120	CDS	1224	yhaO		COG0420	putative metallophosphoesterase YhaO
AKFMKLHP_01121	CDS	2883	yhaN		COG4717	putative protein YhaN
AKFMKLHP_01122	CDS	945	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
AKFMKLHP_01123	CDS	213	yhaL			Sporulation protein YhaL
AKFMKLHP_01124	CDS	879	prsA	5.2.1.8	COG0760	Foldase protein PrsA
AKFMKLHP_01125	CDS	519				hypothetical protein
AKFMKLHP_01126	CDS	333	yhaI			putative protein YhaI
AKFMKLHP_01127	CDS	612	hpr_1		COG1846	HTH-type transcriptional regulator Hpr
AKFMKLHP_01128	CDS	402				hypothetical protein
AKFMKLHP_01129	CDS	519	trpP			putative tryptophan transport protein
AKFMKLHP_01130	CDS	1080	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
AKFMKLHP_01131	CDS	438	hit		COG0537	Protein hit
AKFMKLHP_01132	CDS	744	ecsA_2		COG1131	ABC-type transporter ATP-binding protein EcsA
AKFMKLHP_01133	CDS	1227				hypothetical protein
AKFMKLHP_01134	CDS	711				hypothetical protein
AKFMKLHP_01135	CDS	1191		3.5.1.47		N-acetyldiaminopimelate deacetylase
AKFMKLHP_01136	CDS	1389				hypothetical protein
AKFMKLHP_01137	CDS	315				hypothetical protein
AKFMKLHP_01138	CDS	501	hmoB	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
AKFMKLHP_01139	CDS	2145	pbpF		COG0744	Penicillin-binding protein 1F
AKFMKLHP_01140	CDS	1062	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
AKFMKLHP_01141	CDS	933	hemH	4.99.1.1	COG0276	Ferrochelatase
AKFMKLHP_01142	CDS	1413	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
AKFMKLHP_01143	CDS	576	betI_1			HTH-type transcriptional regulator BetI
AKFMKLHP_01144	CDS	2328	smc_1			Chromosome partition protein Smc
AKFMKLHP_01145	CDS	978	fabHB	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
AKFMKLHP_01146	CDS	777				hypothetical protein
AKFMKLHP_01147	CDS	1041	ysdC_3	3.4.11.-	COG1363	Putative aminopeptidase YsdC
AKFMKLHP_01148	CDS	408				hypothetical protein
AKFMKLHP_01149	CDS	1290	gltT			Proton/sodium-glutamate symport protein
AKFMKLHP_01150	CDS	735			COG1234	putative protein
AKFMKLHP_01151	CDS	996	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
AKFMKLHP_01152	CDS	645	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
AKFMKLHP_01153	CDS	1542	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AKFMKLHP_01154	CDS	396				hypothetical protein
AKFMKLHP_01155	CDS	1281	htpX_1	3.4.24.-		Protease HtpX
AKFMKLHP_01156	CDS	1146	aprE	3.4.21.62	COG1404	Subtilisin E
AKFMKLHP_01157	CDS	450	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
AKFMKLHP_01158	CDS	993	yhfP	1.6.5.-	COG0604	Putative quinone oxidoreductase YhfP
AKFMKLHP_01159	CDS	972	yhfQ		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
AKFMKLHP_01160	CDS	582	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
AKFMKLHP_01161	CDS	1095	yhfS	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
AKFMKLHP_01162	CDS	1440	yhfT	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
AKFMKLHP_01163	CDS	561	bioY_1		COG1268	putative biotin transporter BioY
AKFMKLHP_01164	CDS	1299	hemAT		COG0840	Heme-based aerotactic transducer HemAT
AKFMKLHP_01165	CDS	1530	petC_2	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
AKFMKLHP_01166	CDS	858	ydaD_2	1.-.-.-		General stress protein 39
AKFMKLHP_01167	CDS	234				hypothetical protein
AKFMKLHP_01168	CDS	579	comK		COG4903	Competence transcription factor
AKFMKLHP_01169	CDS	900	yghA	1.-.-.-		putative oxidoreductase YghA
AKFMKLHP_01170	CDS	270				hypothetical protein
AKFMKLHP_01171	CDS	1470	yodF_1		COG0591	putative symporter YodF
AKFMKLHP_01172	CDS	201				hypothetical protein
AKFMKLHP_01173	CDS	363				hypothetical protein
AKFMKLHP_01174	CDS	624	ydjZ_3		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
AKFMKLHP_01175	CDS	507	sipV	3.4.21.89	COG0681	Signal peptidase I V
AKFMKLHP_01176	CDS	1497	oxyS	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
AKFMKLHP_01177	CDS	528	pchR_1			HTH-type transcriptional regulator PchR
AKFMKLHP_01178	CDS	1206	glcP		COG0738	Glucose/mannose transporter GlcP
AKFMKLHP_01179	CDS	1053	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
AKFMKLHP_01180	CDS	849	ntdB	3.1.3.92	COG0561	Kanosamine-6-phosphate phosphatase
AKFMKLHP_01181	CDS	1326	ntdA	2.6.1.104	COG0399	3-oxo-glucose-6-phosphate:glutamate aminotransferase
